timestamp,micro_response_time,micro_vus,mono_response_time,mono_vus,hybrid_response_time,hybrid_vus,dist_micro_response_time,dist_micro_vus,dist_mono_response_time,dist_mono_vus,dist_hybrid_response_time,dist_hybrid_vus
1,62.830214200000015,2.2,0.0,2.2,45.8976949,2.2,82.092344,2.2,68.7614885,2.2,121.7220969,2.2
2,61.6367971,5.5,32.2819314,5.5,59.77257369999999,5.5,75.4942178,5.5,76.54855119999999,5.5,35.2555037,5.5
3,78.6585303,8.8,20.022234899999997,8.8,50.6809372,8.8,150.78425470000002,8.8,59.754693599999996,8.8,43.502976999999994,8.8
4,45.008235400000004,12.2,32.6845375,12.2,59.73233750000001,12.2,46.501101299999995,12.2,68.7262162,12.2,45.3318192,12.2
5,70.0899563,15.5,25.710339999999995,15.5,82.5166999,15.5,77.8087771,15.5,40.381045799999995,15.5,52.0345829,15.5
6,68.26881610000001,18.8,28.115863400000002,18.8,47.2718084,18.8,61.625943299999996,18.8,79.7764557,18.8,66.8444826,18.8
7,122.41572839999999,22.2,36.6436037,22.2,79.5077698,22.2,82.90149360000001,22.2,69.4375185,22.2,67.61088939999999,22.2
8,64.2574197,25.5,60.26444909999999,25.5,56.370247199999994,25.5,74.14045519999999,25.5,41.7779321,25.5,37.0586554,25.5
9,49.53466040000001,28.8,36.286895200000004,28.8,130.15056999999996,28.8,96.0096729,28.8,32.114580800000006,28.8,76.3318917,28.8
10,36.3303129,31.9,75.43165459999999,32.0,51.3612703,31.9,170.12970209999997,32.0,112.82941149999999,32.0,111.64213319999999,32.0
11,47.19924389999999,35.2,31.225692900000002,35.2,65.3490695,35.2,134.02071859999998,35.2,91.0493587,35.2,79.52975870000002,35.2
12,43.2920259,38.5,158.9773465,38.5,80.7413657,38.5,139.6517995,38.5,116.11087110000003,38.5,124.0942329,38.5
13,50.447038799999994,41.8,72.6737048,41.8,38.4208964,41.8,125.32806330000001,41.8,136.2237204,41.8,131.5295072,41.8
14,81.1573411,45.2,88.0768906,45.2,117.7299782,45.2,157.6400845,45.2,128.6751073,45.2,87.70616410000001,45.2
15,74.707067,48.5,69.18484230000001,48.5,77.2725347,48.5,110.80875409999999,48.5,81.26020439999999,48.5,89.08343959999999,48.5
