Metric,Percentile,Value
micro_response_time,1% High,895.585924
micro_response_time,0.1% High,7272.856655
mono_response_time,1% High,657.762364
mono_response_time,0.1% High,3069.112772
hybrid_response_time,1% High,957.821462
hybrid_response_time,0.1% High,3476.932032
dist_micro_response_time,1% High,655.321571
dist_micro_response_time,0.1% High,1904.025847
dist_mono_response_time,1% High,1126.186859
dist_mono_response_time,0.1% High,3318.246769
dist_hybrid_response_time,1% High,3180.251346
dist_hybrid_response_time,0.1% High,3682.880957
