Metric,Percentile,Value
micro_response_time,1% Low,9.173617
micro_response_time,0.1% Low,6.480081
mono_response_time,1% Low,13.586664
mono_response_time,0.1% Low,10.737508
hybrid_response_time,1% Low,11.809266
hybrid_response_time,0.1% Low,6.986322
dist_micro_response_time,1% Low,7.310445
dist_micro_response_time,0.1% Low,5.975276
dist_mono_response_time,1% Low,9.696557
dist_mono_response_time,0.1% Low,7.599263
dist_hybrid_response_time,1% Low,20.296725
dist_hybrid_response_time,0.1% Low,15.196599
