Metric,Percentile,Value
micro_response_time,1% Low,8.61577885
micro_response_time,0.1% Low,6.0534098730000006
mono_response_time,1% Low,10.94298108
mono_response_time,0.1% Low,0.0
hybrid_response_time,1% Low,11.49381792
hybrid_response_time,0.1% Low,6.977394585
dist_micro_response_time,1% Low,7.42519469
dist_micro_response_time,0.1% Low,5.990087862
dist_mono_response_time,1% Low,9.37074082
dist_mono_response_time,0.1% Low,7.679379529
dist_hybrid_response_time,1% Low,18.97689543
dist_hybrid_response_time,0.1% Low,0.0
