Metric,Percentile,Value
micro_response_time,1% High,867.2958909099997
micro_response_time,0.1% High,3256.6367179202525
micro_response_time,1% Low,8.61577885
micro_response_time,0.1% Low,6.0534098730000006
mono_response_time,1% High,648.8526164499999
mono_response_time,0.1% High,2310.5272850322367
mono_response_time,1% Low,10.94298108
mono_response_time,0.1% Low,0.0
hybrid_response_time,1% High,766.7131610999995
hybrid_response_time,0.1% High,2820.8585654312046
hybrid_response_time,1% Low,11.49381792
hybrid_response_time,0.1% Low,6.977394585
dist_micro_response_time,1% High,649.40766047
dist_micro_response_time,0.1% High,1777.4638155400396
dist_micro_response_time,1% Low,7.42519469
dist_micro_response_time,0.1% Low,5.990087862
dist_mono_response_time,1% High,1071.9086249899995
dist_mono_response_time,0.1% High,3244.305081388023
dist_mono_response_time,1% Low,9.37074082
dist_mono_response_time,0.1% Low,7.679379529
dist_hybrid_response_time,1% High,2963.54760914
dist_hybrid_response_time,0.1% High,3633.8414994420154
dist_hybrid_response_time,1% Low,18.97689543
dist_hybrid_response_time,0.1% Low,0.0
